"Province","airport_iata","attribution"
"Anhui Province","HIA",0.000614364253495951
"Anhui Province","JUH",0.0717667363252652
"Anhui Province","YTY",0.011067459227314
"Anhui Province","WUH",0.00453216014191369
"Anhui Province","JNG",0.00897152465114942
"Anhui Province","AQG",0.138458634784854
"Anhui Province","BFU",0.14183730251487
"Anhui Province","CZX",0.000876757264485936
"Anhui Province","FUG",0.172795389992396
"Anhui Province","HGH",0.00110122398218374
"Anhui Province","JDZ",0.0169470105159646
"Anhui Province","JIU",0.017582118398672
"Anhui Province","NKG",0.0392588708189909
"Anhui Province","HFE",0.135258728138508
"Anhui Province","SZV",0.00256358965781172
"Anhui Province","TXN",0.0776119596247376
"Anhui Province","WHU",0.0928549318740035
"Anhui Province","XUZ",0.0659011983356941
"Anhui Province","YTY",0.011067459227314
"Beijing Municipality","TVS",0.0000499140036218536
"Beijing Municipality","ZQZ",0.00785361444648712
"Beijing Municipality","PEK",0.586510584791364
"Beijing Municipality","PKX",0.0703056993926835
"Beijing Municipality","CDE",0.00600273328753793
"Beijing Municipality","NAY",0.32927739541302
"Chongqing Municipality","DZU",0.100533557686672
"Chongqing Municipality","JIQ",0.17780582664247
"Chongqing Municipality","ENH",0.0516328320055419
"Chongqing Municipality","HPG",0.0531862955101182
"Chongqing Municipality","AKA",0.0361808273891151
"Chongqing Municipality","CKG",0.232875390214193
"Chongqing Municipality","DAX",0.0000719428041766412
"Chongqing Municipality","LIA",0.115307079103382
"Chongqing Municipality","LZO",0.0109026045580396
"Chongqing Municipality","WMT",0.0117460253586412
"Chongqing Municipality","NAO",0.0090109277052147
"Chongqing Municipality","TEN",0.0306815925797464
"Chongqing Municipality","WXN",0.170065062643503
"Fujian Province","SQD",0.00740043993059598
"Fujian Province","SQJ",0.225071416597334
"Fujian Province","MXZ",0.0390272120647533
"Fujian Province","SWA",0.0211211691619474
"Fujian Province","XMN",0.110114106409208
"Fujian Province","FOC",0.14883943449935
"Fujian Province","JUZ",0.000346649655240753
"Fujian Province","LCX",0.187936699721554
"Fujian Province","JJN",0.0767842013889695
"Fujian Province","WUS",0.161265192712776
"Fujian Province","WNZ",0.0220934521312599
"Gansu province","AHJ",0.00754802709293212
"Gansu province","AXF",0.00277196045265707
"Gansu province","THQ",0.0668204947946267
"Gansu province","YZY",0.056245963465367
"Gansu province","EJN",0.00320563463822876
"Gansu province","GMQ",0.00922108427857006
"Gansu province","JIC",0.0782593738544458
"Gansu province","RHT",0.0036629275566162
"Gansu province","DNH",0.20338900992088
"Gansu province","HXD",0.00848233533491489
"Gansu province","GYU",0.0341858182330469
"Gansu province","HZG",0.0000293617665869765
"Gansu province","JGN",0.175741149464208
"Gansu province","LHW",0.0972417070723724
"Gansu province","LNL",0.0457582683215173
"Gansu province","IQN",0.0654934594466084
"Gansu province","GXH",0.0771791801037182
"Gansu province","XNN",0.00817602786321966
"Gansu province","XIY",0.000386112032086788
"Gansu province","ENY",0.000678678166679882
"Gansu province","ZHY",0.0149037239409129
"Gansu province","GYS",0.0110617413558478
"Gansu province","JZH",0.0248592583350822
"Gansu province","HMI",0.00469909042272048
"Guangdong Province","FUO",0.0949222801417618
"Guangdong Province","HUZ",0.112373678278573
"Guangdong Province","HSC",0.152574585780709
"Guangdong Province","BHY",0.00368207153935018
"Guangdong Province","CAN",0.0968091327640077
"Guangdong Province","MXZ",0.047062988963407
"Guangdong Province","SWA",0.0724959134497029
"Guangdong Province","ZUH",0.0489850681027696
"Guangdong Province","SZX",0.0280037987352537
"Guangdong Province","WUZ",0.117321786703188
"Guangdong Province","XIN",0.0925306071288844
"Guangdong Province","ZHA",0.114361065716487
"Guangdong Province","HAK",0.0101551809649914
"Guangdong Province","KOW",0.00872183279621496
"Guangxi Zhuang Autonomous Region","HSC",0.0000153871594162774
"Guangxi Zhuang Autonomous Region","AEB",0.151850700028295
"Guangxi Zhuang Autonomous Region","BHY",0.0698294396906083
"Guangxi Zhuang Autonomous Region","HCJ",0.0932061750769341
"Guangxi Zhuang Autonomous Region","KWL",0.119857340386665
"Guangxi Zhuang Autonomous Region","LLF",0.0162989270188076
"Guangxi Zhuang Autonomous Region","NNG",0.168434860385078
"Guangxi Zhuang Autonomous Region","WGN",0.00927311845133646
"Guangxi Zhuang Autonomous Region","WUZ",0.133712579586278
"Guangxi Zhuang Autonomous Region","LZH",0.146669352682532
"Guangxi Zhuang Autonomous Region","ZHA",0.0120281635255879
"Guangxi Zhuang Autonomous Region","WNH",0.00127318818198317
"Guangxi Zhuang Autonomous Region","AVA",0.00000846324888446331
"Guangxi Zhuang Autonomous Region","LLB",0.0265103223286227
"Guangxi Zhuang Autonomous Region","HZH",0.01255738662707
"Guangxi Zhuang Autonomous Region","ACX",0.0384744549564366
"Guizhou Province","JIQ",0.0230657215181132
"Guizhou Province","HJJ",0.0050735644546696
"Guizhou Province","HCJ",0.00800273912806625
"Guizhou Province","ZAT",0.0316948597611219
"Guizhou Province","AVA",0.104081427884677
"Guizhou Province","BFJ",0.0520667004232138
"Guizhou Province","CKG",0.0116599583223524
"Guizhou Province","KWE",0.0982936233274901
"Guizhou Province","KJH",0.116405155996095
"Guizhou Province","LLB",0.0733335773134091
"Guizhou Province","LZO",0.0081364456606121
"Guizhou Province","WMT",0.0620685209637267
"Guizhou Province","HZH",0.0716706158535564
"Guizhou Province","LPF",0.0730316103320383
"Guizhou Province","TEN",0.0641127524526145
"Guizhou Province","ACX",0.0866484803341893
"Guizhou Province","ZYI",0.110654367789661
"Hainan Province","HAK",0.268942748295794
"Hainan Province","BAR",0.294732278355513
"Hainan Province","SYX",0.436324974401911
"Hebei Province","TVS",0.0562779132545329
"Hebei Province","ZQZ",0.184206444097757
"Hebei Province","PEK",0.0500091112602867
"Hebei Province","PKX",0.0776391709972769
"Hebei Province","CDE",0.151486248853134
"Hebei Province","CIF",0.00894815980066115
"Hebei Province","CIH",0.00463277754225097
"Hebei Province","BPE",0.0617568071081882
"Hebei Province","DAT",0.00869945871143109
"Hebei Province","HDG",0.0350225897890011
"Hebei Province","NAY",0.00613177499256011
"Hebei Province","SJW",0.181827653809444
"Hebei Province","TSN",0.0399870642412488
"Hebei Province","UCB",0.00494010362758603
"Hebei Province","XNT",0.0832896252164955
"Hebei Province","WUT",0.0103235178081296
"Hebei Province","AYN",0.00913739309063867
"Hebei Province","TNA",0.0256852953611304
"Heilongjiang Province","DBC",0.00290075829941435
"Heilongjiang Province","DQA",0.0550479666041898
"Heilongjiang Province","JGD",0.0541468334744361
"Heilongjiang Province","HLH",0.0000667465752813997
"Heilongjiang Province","NZL",0.010728621089076
"Heilongjiang Province","DTU",0.103030265914553
"Heilongjiang Province","FYJ",0.0210451799746189
"Heilongjiang Province","HRB",0.0813810168535645
"Heilongjiang Province","HEK",0.0800417694782618
"Heilongjiang Province","JIL",0.00997393775932378
"Heilongjiang Province","JMU",0.0762469976307243
"Heilongjiang Province","JSJ",0.0826088497584514
"Heilongjiang Province","JXA",0.0629762172163274
"Heilongjiang Province","LDS",0.128955511241418
"Heilongjiang Province","MDG",0.0959976741596263
"Heilongjiang Province","OHE",0.0717208191524623
"Heilongjiang Province","NDG",0.0503137524715124
"Heilongjiang Province","YSQ",0.0101663119024079
"Heilongjiang Province","YNJ",0.00265068277791447
"Henan Province","HSJ",0.0663586308593613
"Henan Province","CIH",0.00465685861567065
"Henan Province","HDG",0.000239882517224889
"Henan Province","YCU",0.0571445907861172
"Henan Province","AYN",0.0872728644426616
"Henan Province","CGO",0.186611756639068
"Henan Province","LHK",0.0291158991610706
"Henan Province","WUH",0.0430033588263751
"Henan Province","LYA",0.107307120388772
"Henan Province","NNY",0.179662938613917
"Henan Province","WDS",0.0309051541382766
"Henan Province","XFN",0.00948957174531364
"Henan Province","JNG",0.0380482782648071
"Henan Province","FUG",0.156116083805944
"Henan Province","XUZ",0.00406703567974315
"Hong Kong Special Administrative Region","SZX",1
"Hubei Province","JIQ",0.0312873126353881
"Hubei Province","YYA",0.0579301974611562
"Hubei Province","DYG",0.00761553014762776
"Hubei Province","ENH",0.0795478603667688
"Hubei Province","LHK",0.040465223686004
"Hubei Province","WUH",0.215187418102982
"Hubei Province","NNY",0.00550442070781462
"Hubei Province","HPG",0.0981424071922098
"Hubei Province","SHS",0.106809822170889
"Hubei Province","WDS",0.0736195932807135
"Hubei Province","XFN",0.0962375539368878
"Hubei Province","YIH",0.101485401177708
"Hubei Province","AKA",0.0123054444855629
"Hubei Province","AQG",0.0048464261897666
"Hubei Province","JIU",0.0601409346680538
"Hubei Province","WXN",0.00887445211411167
"Hunan Province","HSC",0.0576178411331835
"Hunan Province","JGS",0.00926955382266322
"Hunan Province","JIQ",0.0120734602202754
"Hunan Province","YYA",0.0592313496490494
"Hunan Province","CGD",0.130017744426702
"Hunan Province","HJJ",0.0641101153872474
"Hunan Province","DYG",0.110806586022368
"Hunan Province","CSX",0.0926766002308534
"Hunan Province","HNY",0.139525719712201
"Hunan Province","KWL",0.00404357955324238
"Hunan Province","LLF",0.121296494377895
"Hunan Province","WGN",0.0991066810784163
"Hunan Province","WUZ",0.00341607662128485
"Hunan Province","ENH",0.00282112615407978
"Hunan Province","SHS",0.00573681178635152
"Hunan Province","YIH",0.0110372799754042
"Hunan Province","KOW",0.00872700057388627
"Hunan Province","YIC",0.0130431128854004
"Hunan Province","HZH",0.0223620233450296
"Hunan Province","TEN",0.0330808940436085
"Inner Mongolia Autonomous Region","AEQ",0.0351443086506832
"Inner Mongolia Autonomous Region","AXF",0.0402521276275025
"Inner Mongolia Autonomous Region","INC",0.00962737318256846
"Inner Mongolia Autonomous Region","ZQZ",0.00860894497117228
"Inner Mongolia Autonomous Region","YZY",0.00604757359738432
"Inner Mongolia Autonomous Region","DBC",0.00184546447364974
"Inner Mongolia Autonomous Region","EJN",0.062332158827763
"Inner Mongolia Autonomous Region","JGD",0.0508056851695225
"Inner Mongolia Autonomous Region","JIC",0.0152690391503395
"Inner Mongolia Autonomous Region","RHT",0.0324301502165492
"Inner Mongolia Autonomous Region","WZQ",0.0254997409223871
"Inner Mongolia Autonomous Region","PEK",0.000000293757953118275
"Inner Mongolia Autonomous Region","CDE",0.00325002168860291
"Inner Mongolia Autonomous Region","CIF",0.0308485741074916
"Inner Mongolia Autonomous Region","DSN",0.0185008558662519
"Inner Mongolia Autonomous Region","DAT",0.00279734973139396
"Inner Mongolia Autonomous Region","ERL",0.055712764188541
"Inner Mongolia Autonomous Region","YIE",0.0271898861894232
"Inner Mongolia Autonomous Region","HET",0.0302727965657268
"Inner Mongolia Autonomous Region","HUO",0.0513147587136509
"Inner Mongolia Autonomous Region","HLD",0.0574848158329477
"Inner Mongolia Autonomous Region","NZH",0.031887901760592
"Inner Mongolia Autonomous Region","BAV",0.0282251486567943
"Inner Mongolia Autonomous Region","TGO",0.0322287164139738
"Inner Mongolia Autonomous Region","UCB",0.0281263302036301
"Inner Mongolia Autonomous Region","WUA",0.044420320287258
"Inner Mongolia Autonomous Region","HLH",0.0273437682320618
"Inner Mongolia Autonomous Region","XIL",0.089847067362427
"Inner Mongolia Autonomous Region","RLK",0.032654677688689
"Inner Mongolia Autonomous Region","NZL",0.0339902771620313
"Inner Mongolia Autonomous Region","JGN",0.0215361201508026
"Inner Mongolia Autonomous Region","LHW",0.000795200852467379
"Inner Mongolia Autonomous Region","UYN",0.0136005647684245
"Inner Mongolia Autonomous Region","ZHY",0.0128135522617654
"Inner Mongolia Autonomous Region","CHG",0.00694123677882623
"Inner Mongolia Autonomous Region","DTU",0.000429606534009822
"Inner Mongolia Autonomous Region","HEK",0.000390537258845101
"Inner Mongolia Autonomous Region","OHE",0.0264977994081851
"Inner Mongolia Autonomous Region","NDG",0.0029985345975607
"Inner Mongolia Autonomous Region","SHE",0.0000375085979708025
"Jiangsu Province","NTG",0.0547139503031657
"Jiangsu Province","HIA",0.173456565029402
"Jiangsu Province","YTY",0.0937270223932456
"Jiangsu Province","JNG",0.020933759958177
"Jiangsu Province","BFU",0.0127552941616019
"Jiangsu Province","CZX",0.0764284790149456
"Jiangsu Province","LYG",0.0839056970337241
"Jiangsu Province","LYI",0.00304588766411496
"Jiangsu Province","NKG",0.0926737060988711
"Jiangsu Province","PVG",0.00417550579304944
"Jiangsu Province","RUG",0.0633520868308636
"Jiangsu Province","RIZ",0.00179180320554357
"Jiangsu Province","SHA",0.0125157737011937
"Jiangsu Province","SZV",0.0490478887767214
"Jiangsu Province","WHU",0.00204164939177471
"Jiangsu Province","WUX",0.0404743247547464
"Jiangsu Province","XUZ",0.0968411589805274
"Jiangsu Province","YTY",0.0937270223932456
"Jiangsu Province","YNZ",0.118119347773404
"Jiangxi Province","HSC",0.0086788905896043
"Jiangxi Province","JGS",0.157021737756267
"Jiangxi Province","SQD",0.0764371760045991
"Jiangxi Province","SQJ",0.00563835733582122
"Jiangxi Province","YYA",0.0140357805722986
"Jiangxi Province","CSX",0.000681077769218921
"Jiangxi Province","MXZ",0.0101081334454938
"Jiangxi Province","XIN",0.0171103823112882
"Jiangxi Province","AQG",0.00212016823399815
"Jiangxi Province","KHN",0.169947992994538
"Jiangxi Province","KOW",0.150759120505715
"Jiangxi Province","JDZ",0.0881544284152577
"Jiangxi Province","JIU",0.0694432459299101
"Jiangxi Province","LCX",0.0586603190402305
"Jiangxi Province","TXN",0.00874780268021368
"Jiangxi Province","WUS",0.0342633094240407
"Jiangxi Province","YIC",0.128192072942247
"Jilin Province","DBC",0.116390947886541
"Jilin Province","NBS",0.14162801573038
"Jilin Province","TGO",0.0195487327346876
"Jilin Province","HLH",0.0118711152621017
