arr_city,arr_state,arr_country,n_occur
Apple Valley,CA,USA,15
Arcata/Eureka,CA,USA,1274
Arcata/Eureka (US) CA,CA,USA,1015
Auburn (US) CA,CA,USA,20
Avalon,CA,USA,22
Bakersfield,CA,USA,1407
Bishop,CA,USA,17
Blythe,CA,USA,20
Borrego Springs,CA,USA,5
Brawley,CA,USA,15
Burbank,CA,USA,1610
Calexico,CA,USA,20
Calipatria,CA,USA,15
Camp San Luis Obispo,CA,USA,2
Catamarca,CA,ARG,213
Chico,CA,USA,466
Columbia (US) CA,CA,USA,5
Concord (US) CA,CA,USA,63
Crescent City,CA,USA,583
Daggett,CA,USA,16
El Monte,CA,USA,15
Emigrant Gap,CA,USA,20
Fresno,CA,USA,2368
Fullerton,CA,USA,22
Hawthorne,CA,USA,33
Hawthorne (US) CA,CA,USA,23
Hayward,CA,USA,12
Hayward (US) CA,CA,USA,16
Hemet,CA,USA,20
Imperial/El Centro,CA,USA,440
Inyokern,CA,USA,243
King City,CA,USA,17
La Verne,CA,USA,23
Lancaster (US) CA,CA,USA,22
Livermore,CA,USA,20
Lompoc,CA,USA,12
Long Beach,CA,USA,1596
Los Angeles,CA,USA,3564
Los Banos,CA,USA,15
Madera,CA,USA,15
Mammoth Lakes,CA,USA,664
Mariposa,CA,USA,27
Marysville,CA,USA,17
Merced,CA,USA,259
Modesto,CA,USA,470
Mojave,CA,USA,16
Monterey/Carmel,CA,USA,1719
Murrieta/Temecula,CA,USA,27
Napa,CA,USA,22
Novato,CA,USA,22
Oakland,CA,USA,2084
Ontario,CA,USA,1998
Ontario (US) CA,CA,USA,456
Oroville,CA,USA,15
Oxnard/Ventura,CA,USA,192
Palm Springs,CA,USA,2005
Palmdale,CA,USA,15
Palo Alto,CA,USA,26
Paso Robles,CA,USA,11
Porterville,CA,USA,11
Quincy (US) CA,CA,USA,5
Red Bluff,CA,USA,10
Redding,CA,USA,1345
Riverside,CA,USA,20
Sacramento,CA,USA,2961
Salinas,CA,USA,16
Salinas (US),CA,USA,11
San Bernardino,CA,USA,20
San Carlos,CA,USA,13
San Carlos (US),CA,USA,11
San Diego,CA,USA,3254
San Francisco,CA,USA,3459
San Jose (US),CA,USA,2780
San Luis Obispo,CA,USA,1790
Santa Ana,CA,USA,2394
Santa Barbara,CA,USA,1806
Santa Maria (US),CA,USA,676
Santa Monica,CA,USA,42
Santa Paula,CA,USA,34
Santa Rosa (US),CA,USA,1067
Santa Ynez,CA,USA,27
Shafter,CA,USA,5
South Lake Tahoe,CA,USA,29
Tehachapi,CA,USA,22
Thermal,CA,USA,23
Torrance,CA,USA,15
Truckee,CA,USA,34
Tulare,CA,USA,5
Twentynine Palms,CA,USA,20
Ukiah,CA,USA,15
Upland,CA,USA,1
Victorville,CA,USA,16
Visalia,CA,USA,62
Watsonville,CA,USA,22
Willows,CA,USA,22
