country,country_code,pop,loc
Aruba,ABW,104822,NA
Afghanistan,AFG,34656032,NA
Angola,AGO,28813463,NA
Albania,ALB,2876101,NA
Andorra,AND,77281,NA
Arab World,ARB,406452690,NA
United Arab Emirates,ARE,9269612,NA
Argentina,ARG,43847430,NA
Armenia,ARM,2924816,NA
American Samoa,ASM,55599,NA
Antigua and Barbuda,ATG,100963,NA
Australia,AUS,24127159,NA
Austria,AUT,8747358,NA
Azerbaijan,AZE,9762274,NA
Burundi,BDI,10524117,NA
Belgium,BEL,11348159,NA
Benin,BEN,10872298,NA
Burkina Faso,BFA,18646433,NA
Bangladesh,BGD,162951560,NA
Bulgaria,BGR,7127822,NA
Bahrain,BHR,1425171,NA
"Bahamas, The",BHS,391232,NA
Bosnia and Herzegovina,BIH,3516816,NA
Belarus,BLR,9507120,NA
Belize,BLZ,366954,NA
Bermuda,BMU,65331,NA
Bolivia,BOL,10887882,NA
Brazil,BRA,207652865,NA
Barbados,BRB,284996,NA
Brunei Darussalam,BRN,423196,NA
Bhutan,BTN,797765,NA
Botswana,BWA,2250260,NA
Central African Republic,CAF,4594621,NA
Canada,CAN,36286425,NA
Central Europe and the Baltics,CEB,102974082,NA
Switzerland,CHE,8372098,NA
Channel Islands,CHI,164541,NA
Chile,CHL,17909754,NA
China,CHN,1378665000,NA
Cote d'Ivoire,CIV,23695919,NA
Cameroon,CMR,23439189,NA
"Congo, Dem. Rep.",COD,78736153,NA
"Congo, Rep.",COG,5125821,NA
Colombia,COL,48653419,NA
Comoros,COM,795601,NA
Cabo Verde,CPV,539560,NA
Costa Rica,CRI,4857274,NA
Caribbean small states,CSS,7245472,NA
Cuba,CUB,11475982,NA
Curacao,CUW,159999,NA
Cayman Islands,CYM,60765,NA
Cyprus,CYP,1170125,NA
Czech Republic,CZE,10561633,NA
Germany,DEU,82667685,NA
Djibouti,DJI,942333,NA
Dominica,DMA,73543,NA
Denmark,DNK,5731118,NA
Dominican Republic,DOM,10648791,NA
Algeria,DZA,40606052,NA
East Asia & Pacific (excluding high income),EAP,2051452657,NA
Early-demographic dividend,EAR,NA,NA
East Asia & Pacific,EAS,NA,NA
Europe & Central Asia (excluding high income),ECA,417424643,NA
Europe & Central Asia,ECS,911995305,NA
Ecuador,ECU,16385068,NA
"Egypt, Arab Rep.",EGY,95688681,NA
Euro area,EMU,340894606,NA
Eritrea,ERI,NA,NA
Spain,ESP,46443959,NA
Estonia,EST,1316481,NA
Ethiopia,ETH,102403196,NA
European Union,EUU,511497415,NA
Fragile and conflict affected situations,FCS,496575241,NA
Finland,FIN,5495096,NA
Fiji,FJI,898760,NA
France,FRA,66896109,NA
Faroe Islands,FRO,49117,NA
"Micronesia, Fed. Sts.",FSM,104937,NA
Gabon,GAB,1979786,NA
United Kingdom,GBR,65637239,NA
Georgia,GEO,3719300,NA
Ghana,GHA,28206728,NA
Gibraltar,GIB,34408,NA
Guinea,GIN,12395924,NA
"Gambia, The",GMB,2038501,NA
Guinea-Bissau,GNB,1815698,NA
Equatorial Guinea,GNQ,1221490,NA
