country_name,country,pop,source,state_name
Eritrea,ERI,4474690,ERI,NA
Aruba,ABW,104822,ABW,NA
Afghanistan,AFG,34656032,AFG,NA
Angola,AGO,28813463,AGO,NA
Albania,ALB,2876101,ALB,NA
Andorra,AND,77281,AND,NA
Arab World,ARB,406452690,ARB,NA
United Arab Emirates,ARE,9269612,ARE,NA
Argentina,ARG,43847430,ARG,NA
Armenia,ARM,2924816,ARM,NA
American Samoa,ASM,55599,ASM,NA
Antigua and Barbuda,ATG,100963,ATG,NA
Australia,AUS,24127159,AUS,NA
Austria,AUT,8747358,AUT,NA
Azerbaijan,AZE,9762274,AZE,NA
Burundi,BDI,10524117,BDI,NA
Belgium,BEL,11348159,BEL,NA
Benin,BEN,10872298,BEN,NA
Burkina Faso,BFA,18646433,BFA,NA
Bangladesh,BGD,162951560,BGD,NA
Bulgaria,BGR,7127822,BGR,NA
Bahrain,BHR,1425171,BHR,NA
"Bahamas, The",BHS,391232,BHS,NA
Bosnia and Herzegovina,BIH,3516816,BIH,NA
Belarus,BLR,9507120,BLR,NA
Belize,BLZ,366954,BLZ,NA
Bermuda,BMU,65331,BMU,NA
Bolivia,BOL,10887882,BOL,NA
Brazil,BRA,207652865,BRA,NA
Barbados,BRB,284996,BRB,NA
Brunei Darussalam,BRN,423196,BRN,NA
Bhutan,BTN,797765,BTN,NA
Botswana,BWA,2250260,BWA,NA
Central African Republic,CAF,4594621,CAF,NA
Canada,CAN,36286425,CAN,NA
Central Europe and the Baltics,CEB,102974082,CEB,NA
Switzerland,CHE,8372098,CHE,NA
Channel Islands,CHI,164541,CHI,NA
Chile,CHL,17909754,CHL,NA
Cote d'Ivoire,CIV,23695919,CIV,NA
Cameroon,CMR,23439189,CMR,NA
"Congo, Dem. Rep.",COD,78736153,COD,NA
"Congo, Rep.",COG,5125821,COG,NA
Colombia,COL,48653419,COL,NA
Comoros,COM,795601,COM,NA
Cabo Verde,CPV,539560,CPV,NA
Costa Rica,CRI,4857274,CRI,NA
Caribbean small states,CSS,7245472,CSS,NA
Cuba,CUB,11475982,CUB,NA
Curacao,CUW,159999,CUW,NA
Cayman Islands,CYM,60765,CYM,NA
Cyprus,CYP,1170125,CYP,NA
Czech Republic,CZE,10561633,CZE,NA
Germany,DEU,82667685,DEU,NA
Djibouti,DJI,942333,DJI,NA
Dominica,DMA,73543,DMA,NA
Denmark,DNK,5731118,DNK,NA
Dominican Republic,DOM,10648791,DOM,NA
Algeria,DZA,40606052,DZA,NA
East Asia & Pacific (excluding high income),EAP,2051452657,EAP,NA
Europe & Central Asia (excluding high income),ECA,417424643,ECA,NA
Europe & Central Asia,ECS,911995305,ECS,NA
Ecuador,ECU,16385068,ECU,NA
"Egypt, Arab Rep.",EGY,95688681,EGY,NA
Euro area,EMU,340894606,EMU,NA
Spain,ESP,46443959,ESP,NA
Estonia,EST,1316481,EST,NA
Ethiopia,ETH,102403196,ETH,NA
European Union,EUU,511497415,EUU,NA
Fragile and conflict affected situations,FCS,496575241,FCS,NA
Finland,FIN,5495096,FIN,NA
Fiji,FJI,898760,FJI,NA
France,FRA,66896109,FRA,NA
Faroe Islands,FRO,49117,FRO,NA
"Micronesia, Fed. Sts.",FSM,104937,FSM,NA
Gabon,GAB,1979786,GAB,NA
United Kingdom,GBR,65637239,GBR,NA
Georgia,GEO,3719300,GEO,NA
Ghana,GHA,28206728,GHA,NA
Gibraltar,GIB,34408,GIB,NA
Guinea,GIN,12395924,GIN,NA
"Gambia, The",GMB,2038501,GMB,NA
Guinea-Bissau,GNB,1815698,GNB,NA
Equatorial Guinea,GNQ,1221490,GNQ,NA
Greece,GRC,10746740,GRC,NA
Grenada,GRD,107317,GRD,NA
Greenland,GRL,56186,GRL,NA
Guatemala,GTM,16582469,GTM,NA
Guam,GUM,162896,GUM,NA
Guyana,GUY,773303,GUY,NA
High income,HIC,1190029421,HIC,NA
