source,destination,t,this.sim
Guangdong,JFK,2020-01-18,1
Hubei,JFK,2020-01-16,1
Hubei,JFK,2020-01-18,1
Hubei,JFK,2020-01-23,1
Shanghai,EWR,2020-01-22,1
Shanghai,JFK,2020-01-23,1
CA,JFK,2020-02-23,1
CA,JFK,2020-02-25,2
CA,JFK,2020-02-26,1
DEU,EWR,2020-02-23,1
DEU,EWR,2020-02-26,1
ESP,EWR,2020-02-28,1
ESP,JFK,2020-02-24,1
FL,HPN,2020-02-24,1
FL,JFK,2020-02-28,1
FRA,JFK,2020-02-17,1
GBR,EWR,2020-02-22,1
ISL,EWR,2020-02-26,1
ISL,EWR,2020-02-28,2
ISL,JFK,2020-02-20,1
ISL,JFK,2020-02-24,1
ISL,JFK,2020-02-27,1
ITA,EWR,2020-02-23,2
ITA,EWR,2020-02-24,1
ITA,EWR,2020-02-28,1
ITA,JFK,2020-02-16,1
ITA,JFK,2020-02-22,6
ITA,JFK,2020-02-26,1
KOR,JFK,2020-02-16,1
MA,JFK,2020-02-27,1
NLD,EWR,2020-02-28,1
NY,FRG,2020-02-25,1
NY,JFK,2020-02-27,1
NY,LGA,2020-02-28,1
RI,EWR,2020-02-21,1
SGP,ALB,2020-02-02,1
SGP,ALB,2020-02-03,1
SWE,JFK,2020-02-28,1
TWN,JFK,2020-02-08,1
WA,EWR,2020-02-24,1
WA,JFK,2020-02-24,1
AL,BUF,2020-03-23,1
AL,BUF,2020-03-31,1
AL,EWR,2020-03-17,1
AL,LGA,2020-03-18,1
AL,LGA,2020-03-24,1
AR,LGA,2020-03-08,1
AR,LGA,2020-03-16,2
AUS,JFK,2020-03-05,1
AUT,EWR,2020-03-10,1
AZ,BDL,2020-03-09,1
AZ,BUF,2020-03-10,1
AZ,EWR,2020-03-07,1
AZ,EWR,2020-03-12,1
AZ,EWR,2020-03-18,1
AZ,JFK,2020-03-23,4
AZ,JFK,2020-03-31,1
BEL,JFK,2020-03-03,1
BEL,JFK,2020-03-04,1
CA,ALB,2020-03-15,1
CA,ALB,2020-03-17,1
CA,ALB,2020-03-24,2
CA,BDL,2020-03-02,1
CA,BDL,2020-03-15,1
CA,BDL,2020-03-17,2
CA,BDL,2020-03-24,1
CA,BUF,2020-03-08,1
CA,BUF,2020-03-09,1
CA,BUF,2020-03-21,1
CA,BUF,2020-03-27,1
CA,EWR,2020-03-05,3
CA,EWR,2020-03-10,2
CA,EWR,2020-03-11,3
CA,EWR,2020-03-13,2
CA,EWR,2020-03-17,15
CA,EWR,2020-03-19,1
CA,EWR,2020-03-20,1
CA,EWR,2020-03-22,1
CA,EWR,2020-03-27,4
CA,EWR,2020-03-28,9
CA,EWR,2020-03-29,1
CA,EWR,2020-03-30,1
CA,HPN,2020-03-11,1
CA,ITH,2020-03-15,1
CA,JFK,2020-03-02,1
CA,JFK,2020-03-08,17
CA,JFK,2020-03-09,7
CA,JFK,2020-03-10,2
CA,JFK,2020-03-11,1
CA,JFK,2020-03-13,7
CA,JFK,2020-03-18,3
CA,JFK,2020-03-19,9
CA,JFK,2020-03-22,1
CA,JFK,2020-03-23,5
CA,JFK,2020-03-29,1
CA,LGA,2020-03-01,1
CA,LGA,2020-03-09,1
CA,LGA,2020-03-17,3
CA,LGA,2020-03-22,1
CA,LGA,2020-03-24,4
CA,SWF,2020-03-20,1
CAN,EWR,2020-03-12,1
CAN,EWR,2020-03-26,1
CAN,JFK,2020-03-08,1
CAN,LGA,2020-03-14,1
CAN,LGA,2020-03-17,4
CAN,LGA,2020-03-23,2
CHE,EWR,2020-03-04,1
CHE,EWR,2020-03-05,1
CHE,EWR,2020-03-28,1
CHE,JFK,2020-03-02,2
CHE,JFK,2020-03-03,1
CHE,JFK,2020-03-10,3
CHE,JFK,2020-03-17,1
CHE,JFK,2020-03-22,1
CHE,ROC,2020-03-06,1
