t_month,source,dep_country,arr_airport,arr_state,arr_country,travelers_sd,travelers_mean,travelers,t_year,destination
01,AFG,AFG,ALB,NY,USA,0.5,1,1,2020,ALB
01,AFG,AFG,BDL,CT,USA,1.5,3,3,2020,BDL
01,AFG,AFG,BUF,NY,USA,0.6,4.3,4.31329284591306,2020,BUF
01,AFG,AFG,EWR,NJ,USA,3.8,5,5.03681073679769,2020,EWR
01,AFG,AFG,JFK,NY,USA,61.1,163.6,163.57521589333,2020,JFK
01,AFG,AFG,ROC,NY,USA,1,2.9,2.91486764116886,2020,ROC
01,AFG,AFG,SYR,NY,USA,2.1,6.3,6.34846922834954,2020,SYR
01,AGO,AGO,BUF,NY,USA,1.4,4.9,4.91607978309962,2020,BUF
01,AGO,AGO,EWR,NJ,USA,15.6,78.3,78.335961748631,2020,EWR
01,AGO,AGO,JFK,NY,USA,17.8,260.6,260.589162453516,2020,JFK
01,AK,USA,ACY,NJ,USA,1,0.8,0.81712059283214,2020,ACY
01,AK,USA,ALB,NY,USA,18.5,55.6,55.6414343641777,2020,ALB
01,AK,USA,ART,NY,USA,3.1,6,6,2020,ART
01,AK,USA,BDL,CT,USA,10.6,137.1,137.058926035714,2020,BDL
01,AK,USA,BGM,NY,USA,1.7,0.6,0.587401051968199,2020,BGM
01,AK,USA,BUF,NY,USA,5.3,94.9,94.9044187561577,2020,BUF
01,AK,USA,ELM,NY,USA,8.6,13.1,13.0945974641298,2020,ELM
01,AK,USA,EWR,NJ,USA,117.8,652.8,652.827508306908,2020,EWR
01,AK,USA,HPN,NY,USA,5.6,2.9,2.91486764116886,2020,HPN
01,AK,USA,ISP,NY,USA,1,2,2,2020,ISP
01,AK,USA,ITH,NY,USA,0.7,2.5,2.46410161513776,2020,ITH
01,AK,USA,JFK,NY,USA,73.3,592.6,592.614959797156,2020,JFK
01,AK,USA,LGA,NY,USA,42.7,295.6,295.591486792294,2020,LGA
01,AK,USA,PBG,NY,USA,2.6,5,5,2020,PBG
01,AK,USA,ROC,NY,USA,0.6,55.3,55.3313686588444,2020,ROC
01,AK,USA,SWF,NY,USA,1.2,1.5,1.51984209978975,2020,SWF
01,AK,USA,SYR,NY,USA,26.4,69.3,69.2575546052106,2020,SYR
01,AL,USA,ACY,NJ,USA,2.5,2.8,2.82586236554478,2020,ACY
01,AL,USA,ALB,NY,USA,36.7,498.4,498.415374024695,2020,ALB
01,AL,USA,ART,NY,USA,8,11,10.9721576725838,2020,ART
01,AL,USA,BDL,CT,USA,51.1,1249.3,1249.30558416856,2020,BDL
