destination,travelers
JFK,2028678.25833333
EWR,1451987.10833333
LGA,1175117.6
BDL,278705.108333333
BUF,212699.85
ALB,124338.525
ROC,110490.658333333
SYR,100030.375
HPN,79466.8416666667
ISP,68180.8083333333
ACY,47474.6666666667
TTN,38003.1166666667
TEB,30403.3916666667
FRG,20583.425
SWF,19402.8916666667
HTO,18135.2416666667
ELM,13165.3333333333
IAG,12067.25
ITH,11287.35
FOK,10535.425
PBG,10282.65
MMU,9033.95
MTP,6782.35
HVN,5974.43333333333
BLM,4226.48333333333
BGM,4125.725
CDW,4122.74166666667
HFD,3969.91666666667
FID,3197.825
DXR,2992.11666666667
PCT,2926.79166666667
POU,2922.39166666667
ART,2561.88333333333
WWD,2494.14166666667
MIV,2451.50833333333
OGS,2327.78333333333
RME,2292.00833333333
GON,2030.5
SLK,2019.19166666667
OXC,1974.81666666667
LKP,1915.33333333333
WSH,1887.66666666667
BDR,1882.05
GFL,1621.04166666667
MSV,1345.2
SCH,1290.55833333333
LDJ,1193
OLE,865.041666666667
HCC,844.441666666667
MSS,842.733333333333
JVI,838.425
CTX,776.675
JHW,684.616666666667
MGJ,596.6
DKK,593.8
ONH,408
SXY,222.75
LLY,203.8
NYS,5
